"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT3G44444";0.0219669948981694;0.0739087747893424;0.214099760049547;0.833937676250907;1;-7.03729848614885
"AT5G18130";-0.0219603829172188;3.43671185140279;-0.114432497518002;0.910720773588786;1;-7.05481703156425
"AT1G10570";0.0219590398209855;3.28028307807921;0.249220107126913;0.807256978894872;1;-7.02860991546792
"AT1G26110";0.0219541793525728;6.21334435202203;0.211672158515829;0.835790304433422;1;-7.03785077458554
"AT5G05815";-0.0219529392511227;0.0317125550441347;-0.228066562378443;0.823299357685951;1;-7.03399959528826
"AT5G64030";-0.0219442488257666;4.74833934019086;-0.264580945996722;0.79566407079686;1;-7.02439978279927
"AT5G07370";0.0219393210410859;4.34502440522211;0.277879147521486;0.785668537910602;1;-7.02055401984633
"AT1G51890";-0.0219102699061081;0.594963739667431;-0.156723870418759;0.877976726976026;1;-7.04867641301578
"AT1G77290";-0.0219028001529447;2.69572688089441;-0.177608809335898;0.861888790247339;1;-7.04494022384689
"AT5G06839";-0.0218993679951871;2.60383372113754;-0.11316689043548;0.911703620934521;1;-7.05497134965798
"AT1G16916";0.0218980885646998;3.32236740330349;0.0977575148802839;0.92368194677941;1;-7.05671283920138
"AT1G30970";0.0218956632373359;4.35353023277377;0.322280425822991;0.752590770248318;1;-7.00636694497046
"AT4G12770";0.0218955082241079;4.06892370270628;0.271158216073206;0.790715456410158;1;-7.02252096202919
"AT4G33080";0.0218838465047053;4.74924600912621;0.181856251848629;0.858624548352274;1;-7.04412354408505
"AT2G40210";-0.0218805682468967;0.00712876604407668;-1.27007065738516;0.22729611817166;0.669310623132746;-6.24877914119411
"AT1G02080";-0.021878868662883;4.06627312727831;-0.210022337063766;0.837049954174493;1;-7.03822254660351
"AT2G08270";-0.0218692620732724;0.00364487701221206;-1.74910554075949;0.104875916997655;0.457217434708733;-5.59610788823644
"AT5G54050";-0.0218512733732247;0.221547755118357;-0.221636112181211;0.828192947425296;1;-7.03554411924969
"AT1G55870";-0.0218444240855353;2.38394057191913;-0.244287749984546;0.810989725915499;1;-7.029908933041
"AT4G12680";-0.0218405322366109;2.31778461570879;-0.179983317855034;0.860063603307006;1;-7.04448603008938
"AT5G61760";0.0218328264256695;3.28723649014433;0.24553306203064;0.810046828920041;1;-7.02958338598624
"AT1G55860";-0.0218265084399105;3.33028040652103;-0.205556391703114;0.840462081341683;1;-7.03921441312304
"AT4G07855";0.0218128321101114;0.190088674835282;0.0375395559672535;0.970650364849933;1;-7.06108024590896
"AT5G54855";0.0218098951103958;4.29228409577316;0.170786858032777;0.867137122301311;1;-7.04621172688306
"AT5G60800";-0.0218031311914899;3.40435809454588;-0.178132979565504;0.861485810437806;1;-7.04484047719347
